"constituencyraw","nppraw","pncraw","ndcraw","dfp","dpp","cppraw","rpd","indraw","valid_votesraw","rejected_votes","total_votes_castraw","registered_voters_raw","turnoutraw","pct_rejectedraw","constituency_pre_recode.x","npptot","ndctot","valid_votes","registered_voters","total_votes_cast","two_party_vote_cons","ndc_prop_two_party_cons","ndc_cons","regionname","fid_c230","dist130","c230_id_g","const230_g","Group.1","constituency_pre_recode.y","district_pre_recode","district1","sumndc_dist170","sumtwoparty_dist170","ndc_share_2p_dist170","valid_votes_dist170","rejected_votes_dist170","total_votes_cast_dist170","registered_voters_dist170","turnout_reg_voters","ndc_pct_tot_dist170","remove","district_170"
"ABETIFI"," 16,485 "," 106 "," 6,851 ",53,22," 208 ",10," 45 "," 23,780 ",552," 24,332 ",37835,"64.31%","2.27%","abetifi",16485,6851,23780,37835,24332,23336,0.293580733630442,0.288099243061396,"EASTERN",89,"KWAHU SOUTH",417,"ABETIFI","kwahu east","abetifi","kwahu east","kwahu east",6851,23336,0.293580733630442,23780,552,24332,37835,0.643108233117484,0.288099243061396,0,"kwahu east"
"ABIREM"," 13,857 "," 78 "," 7,635 ",50,10," 175 ",4," 30 "," 21,839 ",487," 22,326 ",30405,"73.43%","2.18%","abirem",13857,7635,21839,30405,22326,21492,0.355248464544947,0.349603919593388,"EASTERN",79,"BIRIM NORTH",408,"ABIREM","birim north","abirem","birim north","birim north",7635,21492,0.355248464544947,21839,487,22326,30405,0.734287123828318,0.349603919593388,0,"birim north"
"ABLEKUMA CENTRAL"," 40,555 "," 276 "," 43,392 ",87,44," 805 ",9," 22 "," 85,190 ",898," 86,088 ",127678,"67.43%","1.04%","ablekuma central",40555,43392,85190,127678,86088,83947,0.516897566321608,0.509355558164104,NA,NA,NA,NA,NA,NA,NA,"accra","accra",406073,799291,0.508041501780953,814706,7006,821712,1223858,0.671411225812145,0.498428881093302,0,"accra"
"ABOKOBI-MADINA"," 27,708 "," 205 "," 34,571 ",112,57," 589 ",8," 8 "," 63,258 ",610," 63,868 ",92014,"69.41%","0.96%","abokobi madina",27708,34571,63258,92014,63868,62279,0.555098829460974,0.546507951563439,"GREATER ACCRA",106,"GA",512,"ABOKOBI/ MADINA","ga east","abokobi  madina","ga east","ga east",57508,121588,0.472974306675001,123564,1252,124816,186509,0.669222396774418,0.46541063740248,0,"ga east"
"ABURA/A/KWAMANKESE"," 13,088 "," 169 "," 20,885 ",188,60," 787 ",23," 58 "," 35,258 ",1330," 36,588 ",52654,"69.49%","3.64%","abura a kwamankese",13088,20885,35258,52654,36588,33973,0.614752892002473,0.592347835952124,"CENTRAL",54,"ABURA/ASEBU/KWAMANKESE",301,"ABURA/ASEBU/KWAMANKESE","abura asebu kwamankese","abura asebu kwamankese","abura asebu kwamankese","abura asebu kwamankese",20885,33973,0.614752892002473,35258,1330,36588,52654,0.694875982831314,0.592347835952124,0,"abura asebu kwamankese"
"ABURI/NSAWAM"," 30,912 "," 145 "," 23,504 ",94,29," 483 ",26," 54 "," 55,247 ",1208," 56,455 ",78836,"71.61%","2.14%","aburi nsawam",30912,23504,55247,78836,56455,54416,0.431931784769186,0.425434865241552,"EASTERN",77,"AKWAPIM SOUTH",405,"ABURI-NSAWAM","akwapem south","aburi nsawam","akwapem south","akwapem south",23504,54416,0.431931784769186,55247,1208,56455,78836,0.716106854736415,0.425434865241552,0,"akwapem south"
"ADA"," 3,357 "," 79 "," 16,431 ",88,21," 252 ",4," 23 "," 20,255 ",450," 20,705 ",30526,"67.83%","2.17%","ada",3357,16431,20255,30526,20705,19788,0.830351728320194,0.811207109355715,"GREATER ACCRA",102,"DANGBE EAST",508,"ADA","dangbe east","ada","dangbe east","dangbe east",31383,38257,0.820320464228769,39172,1145,40317,57342,0.703097206236267,0.801158991116103,0,"dangbe east"
"ADANSI ASOKWA"," 13,930 "," 113 "," 9,609 ",104,25," 458 ",10," 36 "," 24,285 ",677," 24,962 ",34100,"73.20%","2.71%","adansi asokwa",13930,9609,24285,34100,24962,23539,0.408216151918093,0.395676343421865,"ASHANTI",0,"ADANSI EAST",101,"ADANSI ASOKWA","adansi north","adansi asokwa","adansi north","adansi north",13221,39657,0.333383765791664,40719,997,41716,56669,0.73613439446611,0.324688720253444,0,"adansi north"
"ADENTA"," 17,143 "," 89 "," 20,354 ",27,22," 519 ",3," 9 "," 38,166 ",326," 38,492 ",60859,"63.25%","0.85%","adenta",17143,20354,38166,60859,38492,37497,0.542816758674027,0.5333018917361,"GREATER ACCRA",111,"TEMA",523,"ADENTA","tema","adenta","tema","adenta",20354,37497,0.542816758674027,38166,326,38492,60859,0.632478351599599,0.5333018917361,0,"adenta"
"AFIGYA-SEKYERE EAST"," 33,855 "," 121 "," 9,240 ",76,13," 268 ",11," 39 "," 43,623 ",464," 44,087 ",57040,"77.29%","1.05%","afigya sekyere east",33855,9240,43623,57040,44087,43095,0.214410024364775,0.211814868303418,"ASHANTI",5,"AFIGYA SEKYERE",105,"AFIGYA SEKYERE EAST","afigya sekyere","afigya sekyere east","afigya sekyere","afigya sekyere",9240,43095,0.214410024364775,43623,464,44087,57040,0.772913744740533,0.211814868303418,0,"afigya sekyere"
"AFIGYA-SEKYERE WEST"," 13,861 "," 84 "," 4,541 ",22,4," 167 ",3," 12 "," 18,694 ",398," 19,092 ",24371,"78.34%","2.08%","afigya sekyere west",13861,4541,18694,24371,19092,18402,0.246766655798283,0.242912164330801,"ASHANTI",6,"AFIGYA SEKYERE",106,"AFIGYA SEKYERE WEST","afigya kwabre","afigya sekyere west","afigya kwabre","afigya kwabre",9920,51507,0.192595181237502,52130,888,53018,70624,0.750707974626189,0.190293497026664,0,"afigya kwabre"
"AFRAM PLAINS NORTH"," 3,068 "," 75 "," 16,008 ",94,27," 129 ",11," 13 "," 19,425 ",468," 19,893 ",32893,"60.48%","2.35%","afram plains north",3068,16008,19425,32893,19893,19076,0.839169637240512,0.824092664092664,"EASTERN",73,"AFRAM PLAINS",401,"AFRAM PLAINS NORTH","kwahu north","afram plains north","kwahu north","kwahu north",28703,37296,0.769599957099957,38108,1077,39185,63139,0.62061483393782,0.75320142752178,0,"kwahu north"
"AGONA EAST"," 14,002 "," 122 "," 15,369 ",127,28," 298 ",21," 58 "," 30,025 ",1111," 31,136 ",43365,"71.80%","3.57%","agona east",14002,15369,30025,43365,31136,29371,0.523271253957986,0.511873438800999,"CENTRAL",55,"AGONA",302,"AGONA EAST","agona east","agona east","agona east","agona east",15369,29371,0.523271253957986,30025,1111,31136,43365,0.717998385794996,0.511873438800999,0,"agona east"
"AGONA WEST"," 23,147 "," 147 "," 19,735 ",253,117," 849 ",36," 162 "," 44,446 ",1587," 46,033 ",65408,"70.38%","3.45%","agona west",23147,19735,44446,65408,46033,42882,0.4602164078168,0.444021959231427,"CENTRAL",56,"AGONA",303,"AGONA WEST","agona west","agona west","agona west","agona west",19735,42882,0.4602164078168,44446,1587,46033,65408,0.703782411937378,0.444021959231427,0,"agona west"
"AHAFO ANO NORTH"," 16,679 "," 133 "," 14,028 ",114,15," 69 ",20," 45 "," 31,103 ",527," 31,630 ",40949,"77.24%","1.67%","ahafo ano north",16679,14028,31103,40949,31630,30707,0.456833946657114,0.451017586727968,"ASHANTI",7,"AHAFO ANO NORTH",107,"AHAFO ANO NORTH","ahafo ano north","ahafo ano north","ahafo ano north","ahafo ano north",14028,30707,0.456833946657114,31103,527,31630,40949,0.772424235024054,0.451017586727968,0,"ahafo ano north"
"AHAFO ANO SOUTH"," 22,782 "," 219 "," 13,954 ",148,29," 131 ",18," 55 "," 37,336 ",946," 38,282 ",50840,"75.30%","2.47%","ahafo ano south",22782,13954,37336,50840,38282,36736,0.379845383275261,0.373741161345618,"ASHANTI",8,"AHAFO ANO SOUTH",108,"AHAFO ANO SOUTH","ahafo ano south","ahafo ano south","ahafo ano south","ahafo ano south",13954,36736,0.379845383275261,37336,946,38282,50840,0.752989771833202,0.373741161345618,0,"ahafo ano south"
"AHANTA WEST"," 20,871 "," 134 "," 10,940 ",161,59," 2,223 ",47," 21 "," 34,456 ",1527," 35,983 ",55903,"64.37%","4.24%","ahanta west",20871,10940,34456,55903,35983,31811,0.343906195969947,0.317506384954725,"WESTERN",187,"AHANTA WEST",1001,"AHANTA WEST","ahanta west","ahanta west","ahanta west","ahanta west",10940,31811,0.343906195969947,34456,1527,35983,55903,0.643668497218396,0.317506384954725,0,"ahanta west"
"AJUMAKO/ENYAN/ESIAM"," 16,797 "," 164 "," 18,267 ",192,52," 430 ",28," 80 "," 36,010 ",1371," 37,381 ",51759,"72.22%","3.67%","ajumako enyan esiam",16797,18267,36010,51759,37381,35064,0.52096167008898,0.507275756734241,"CENTRAL",57,"AJUMAKO ESIAM",304,"AJUMAKO ENYAN ESIAM","ajumako enyan esiam","ajumako enyan esiam","ajumako enyan esiam","ajumako enyan esiam",18267,35064,0.52096167008898,36010,1371,37381,51759,0.722212562066501,0.507275756734241,0,"ajumako enyan esiam"
"AKAN"," 7,403 "," 179 "," 15,961 ",82,20," 91 ",22," 51 "," 23,809 ",682," 24,491 ",37240,"65.77%","2.78%","akan",7403,15961,23809,37240,24491,23364,0.683145009416196,0.670376748288462,"VOLTA",173,"KADJEBI",911,"AKAN","kadjebi","akan","kadjebi","kadjebi",15961,23364,0.683145009416196,23809,682,24491,37240,0.65765306122449,0.670376748288462,0,"kadjebi"
"AKIM ABUAKWA NORTH"," 15,377 "," 42 "," 9,341 ",34,14," 162 ",3," 14 "," 24,987 ",433," 25,420 ",36824,"69.03%","1.70%","akim abuakwa north",15377,9341,24987,36824,25420,24718,0.377902742940367,0.37383439388482,"EASTERN",83,"EAST AKIM",412,"AKIM ABUAKWA NORTH","east akim","akim abuakwa north","east akim","east akim",16336,54515,0.299660643859488,54995,834,55829,78973,0.70693781418966,0.297045185925993,0,"east akim"
"AKIM ODA"," 31,811 "," 127 "," 16,005 ",109,30," 357 ",21," 40 "," 48,500 ",1008," 49,508 ",69619,"71.11%","2.04%","akim oda",31811,16005,48500,69619,49508,47816,0.33472059561653,0.33,"EASTERN",81,"BIRIM SOUTH",410,"AKIM ODA","birim","akim oda","birim","birim",16005,47816,0.33472059561653,48500,1008,49508,69619,0.711127709389678,0.33,0,"birim"
"AKIM SWEDRU"," 20,012 "," 90 "," 9,399 ",72,21," 130 ",19," 40 "," 29,783 ",837," 30,620 ",41356,"74.04%","2.73%","akim swedru",20012,9399,29783,41356,30620,29411,0.319574308932032,0.315582714971628,"EASTERN",82,"BIRIM SOUTH",411,"AKIM SWEDRU","birim south","akim swedru","birim south","birim south",9399,29411,0.319574308932032,29783,837,30620,41356,0.740400425573073,0.315582714971628,0,"birim south"
"AKROFROM"," 9,143 "," 50 "," 4,917 ",32,7," 243 ",5," 22 "," 14,419 ",399," 14,818 ",20135,"73.59%","2.69%","akrofrom",9143,4917,14419,20135,14818,14060,0.349715504978663,0.341008391705389,"ASHANTI",2,"ADANSI WEST",103,"AKROFROM","adansi south","akrofrom","adansi south","adansi south",20226,40538,0.498939266860723,41340,1528,42868,57065,0.751213528432489,0.489259796806967,0,"adansi south"
"AKROPONG"," 22,472 "," 125 "," 11,331 ",51,16," 374 ",26," 49 "," 34,444 ",847," 35,291 ",49256,"71.65%","2.40%","akropong",22472,11331,34444,49256,35291,33803,0.335206934295773,0.328968760887237,"EASTERN",75,"AKWAPIM NORTH",403,"AKROPONG","akwapem north","akropong","akwapem north","akwapem north",18539,53030,0.349594569111824,54150,1285,55435,75993,0.72947508323135,0.342363804247461,0,"akwapem north"
"AKWATIA","","","",NA,NA,"",NA,""," -   ",NA," -   ",49203,"0.00%","#DIV/0!","akwatia",NA,NA,NA,49203,NA,NA,NA,NA,"EASTERN",87,"KWAEBIBIREM",415,"AKWATIA","kwaebibirem","akwatia","kwaebibirem","kwaebibirem",11709,37057,0.315972690719702,37637,920,38557,105734,0.364660374146443,0.311103435449159,0,"kwaebibirem"
"AMANSIE-WEST"," 40,433 "," 148 "," 6,994 ",108,36," 220 ",36," 138 "," 48,113 ",1232," 49,345 ",65173,"75.71%","2.50%","amansie west",40433,6994,48113,65173,49345,47427,0.147468741434204,0.145366117265604,"ASHANTI",12,"AMANSIE WEST",112,"AMANSIE WEST","amansie west","amansie west","amansie west","amansie west",6994,47427,0.147468741434204,48113,1232,49345,65173,0.757138692403296,0.145366117265604,0,"amansie west"
"AMENFI CENTRAL"," 11,403 "," 110 "," 14,962 ",145,44," 365 ",41," 237 "," 27,307 ",755," 28,062 ",41609,"67.44%","2.69%","amenfi central",11403,14962,27307,41609,28062,26365,0.567494784752513,0.547918116233933,"WESTERN",201,"WASSA AMENFI",1003,"AMENFI CENTRAL","wassa amenfi west","amenfi central","wassa amenfi west","wassa amenfi west",33285,57274,0.581153752138841,58880,1631,60511,87624,0.690575641376792,0.565302309782609,0,"wassa amenfi west"
"AMENFI EAST"," 18,806 "," 147 "," 15,408 ",159,37," 779 ",11," 58 "," 35,405 ",1006," 36,411 ",50915,"71.51%","2.76%","amenfi east",18806,15408,35405,50915,36411,34214,0.450341965277372,0.435192769382856,"WESTERN",202,"WASSA AMENFI",1002,"AMENFI EAST","wassa amenfi east","amenfi east","wassa amenfi east","wassa amenfi east",15408,34214,0.450341965277372,35405,1006,36411,50915,0.715133064912108,0.435192769382856,0,"wassa amenfi east"
"ANLO"," 863 "," 81 "," 31,153 ",126,20," 187 ",10," 22 "," 32,462 ",490," 32,952 ",46653,"70.63%","1.49%","anlo",863,31153,32462,46653,32952,32016,0.973044727636182,0.959675928778264,"VOLTA",174,"KETA",912,"ANLO","keta","anlo","keta","keta",59999,61862,0.969884581811128,62650,872,63522,88956,0.714083367057871,0.957685554668795,0,"keta"
"AOWIN"," 14,559 "," 151 "," 19,933 ",181,35," 318 ",10," 49 "," 35,236 ",1293," 36,529 ",57192,"63.87%","3.54%","aowin",14559,19933,35236,57192,36529,34492,0.577902122231242,0.565699852423658,"WESTERN",188,"AOWIN SUAMAN",1005,"AOWIN","aowin suaman","aowin","aowin suaman","aowin suaman",25664,44227,0.580279015081285,45231,1603,46834,74145,0.63165419111201,0.567398465654087,0,"aowin suaman"
"ASANTE AKIM NORTH"," 40,714 "," 167 "," 13,294 ",104,33," 169 ",57," 75 "," 54,613 ",1089," 55,702 ",74926,"74.34%","1.96%","asante akim north",40714,13294,54613,74926,55702,54008,0.24614871870834,0.243421895885595,"ASHANTI",13,"ASANTE-AKIM NORTH",113,"ASANTE AKIM NORTH","asante akim north","asante akim north","asante akim north","asante akim north",13294,54008,0.24614871870834,54613,1089,55702,74926,0.743426847823186,0.243421895885595,0,"asante akim north"
"ASANTE AKIM SOUTH"," 25,164 "," 142 "," 12,785 ",105,29," 194 ",27," 42 "," 38,488 ",767," 39,255 ",54041,"72.64%","1.95%","asante akim south",25164,12785,38488,54041,39255,37949,0.336899523044085,0.332181459156101,"ASHANTI",14,"ASANTE AKIM SOUTH",114,"ASANTE AKIM SOUTH","asante akim south","asante akim south","asante akim south","asante akim south",12785,37949,0.336899523044085,38488,767,39255,54041,0.72639292389112,0.332181459156101,0,"asante akim south"
"ASAWASE"," 27,102 "," 345 "," 36,092 ",64,12," 395 ",38," 13 "," 64,061 ",895," 64,956 ",94023,"69.09%","1.38%","asawase",27102,36092,64061,94023,64956,63194,0.571130170585815,0.563400508889964,NA,NA,NA,NA,NA,NA,NA,"kumasi","kumasi",154250,582072,0.265001580560481,590244,5736,595980,843937,0.706190154004387,0.261332601432628,0,"kumasi"
"ASHAIMAN"," 30,923 "," 265 "," 54,913 ",117,11," 641 ",10," 18 "," 86,898 ",1043," 87,941 ",133054,"66.09%","1.19%","ashaiman",30923,54913,86898,133054,87941,85836,0.639743231278252,0.631924785380561,"GREATER ACCRA",112,"TEMA",524,"ASHAIMAN","ashaiman","ashaiman","ashaiman","ashaiman",54913,85836,0.639743231278252,86898,1043,87941,133054,0.660942173854225,0.631924785380561,0,"ashaiman"
"ASIKUMA/ODOBEN/BRAKWA"," 17,950 "," 168 "," 17,302 ",162,38," 514 ",32," 77 "," 36,243 ",1698," 37,941 ",52915,"71.70%","4.48%","asikuma odoben brakwa",17950,17302,36243,52915,37941,35252,0.490809032111653,0.477388737135447,"CENTRAL",58,"ASIKUMA/ODOBEN/BRAKWA",305,"ASIKUMA/ODOBEN/BRAKWA","asikuma odoben brakwa","asikuma odoben brakwa","asikuma odoben brakwa","asikuma odoben brakwa",17302,35252,0.490809032111653,36243,1698,37941,52915,0.717017858830199,0.477388737135447,0,"asikuma odoben brakwa"
"ASSIN NORTH"," 21,735 "," 175 "," 20,213 ",197,48," 461 ",29," 70 "," 42,928 ",1830," 44,758 ",64868,"69.00%","4.09%","assin north",21735,20213,42928,64868,44758,41948,0.481858491465624,0.470858181140514,"CENTRAL",59,"ASSIN",306,"ASSIN NORTH","assin north","assin north","assin north","assin north",20213,41948,0.481858491465624,42928,1830,44758,64868,0.689985817352161,0.470858181140514,0,"assin north"
"ASSIN SOUTH"," 17,741 "," 100 "," 13,392 ",110,38," 308 ",20," 37 "," 31,746 ",1003," 32,749 ",44717,"73.24%","3.06%","assin south",17741,13392,31746,44717,32749,31133,0.430154498442167,0.421848421848422,"CENTRAL",60,"ASSIN",307,"ASSIN SOUTH","assin south","assin south","assin south","assin south",13392,31133,0.430154498442167,31746,1003,32749,44717,0.732361294362323,0.421848421848422,0,"assin south"
"ASUNAFO NORTH"," 24,757 "," 186 "," 19,857 ",114,32," 167 ",15," 30 "," 45,158 ",1176," 46,334 ",63675,"72.77%","2.54%","asunafo north",24757,19857,45158,63675,46334,44614,0.445084502622495,0.439722751229018,"BRONG AHAFO",30,"ASUNAFO",201,"ASUNAFO NORTH","asunafo north","asunafo north","asunafo north","asunafo north",19857,44614,0.445084502622495,45158,1176,46334,63675,0.727663918335296,0.439722751229018,0,"asunafo north"
"ASUNAFO SOUTH"," 16,208 "," 130 "," 15,803 ",109,16," 54 ",13," 25 "," 32,358 ",799," 33,157 ",44162,"75.08%","2.41%","asunafo south",16208,15803,32358,44162,33157,32011,0.493674049545469,0.48837999876383,"BRONG AHAFO",31,"ASUNAFO",202,"ASUNAFO SOUTH","asunafo south","asunafo south","asunafo south","asunafo south",15803,32011,0.493674049545469,32358,799,33157,44162,0.7508038585209,0.48837999876383,0,"asunafo south"
"ASUOGYAMAN"," 15,017 "," 74 "," 17,363 ",50,26," 305 ",13," 29 "," 32,877 ",581," 33,458 ",48662,"68.76%","1.74%","asuogyaman",15017,17363,32877,48662,33458,32380,0.536226065472514,0.528119962283663,"EASTERN",78,"ASUOGYAMAN",406,"ASUOGYAMAN","asuogyaman","asuogyaman","asuogyaman","asuogyaman",17363,32380,0.536226065472514,32877,581,33458,48662,0.687559081007768,0.528119962283663,0,"asuogyaman"
"ASUTIFI NORTH"," 11,875 "," 73 "," 8,440 ",69,15," 105 ",7," 41 "," 20,625 ",513," 21,138 ",26766,"78.97%","2.43%","asutifi north",11875,8440,20625,26766,21138,20315,0.415456559192715,0.409212121212121,"BRONG AHAFO",32,"ASUTIFI",203,"ASUTIFI NORTH","asutifi","asutifi north","asutifi","asutifi",19186,41819,0.458786675912863,42452,980,43432,54736,0.793481438175972,0.45194572693866,0,"asutifi"
"ATEBUBU/AMANTING"," 10,948 "," 235 "," 15,664 ",125,30," 103 ",22," 112 "," 27,239 ",1192," 28,431 ",42958,"66.18%","4.19%","atebubu amanting",10948,15664,27239,42958,28431,26612,0.58860664361942,0.575057821505929,"BRONG AHAFO",34,"ATEBUBU",205,"ATEBUBU-AMANTING","atebubu amantin","atebubu amanting","atebubu amantin","atebubu amantin",15664,26612,0.58860664361942,27239,1192,28431,42958,0.661832487545975,0.575057821505929,0,"atebubu amantin"
"ATIWA"," 26,669 "," 80 "," 7,462 ",47,16," 118 ",10," 33 "," 34,435 ",652," 35,087 ",47107,"74.48%","1.86%","atiwa",26669,7462,34435,47107,35087,34131,0.218628226538924,0.216698126905764,"EASTERN",85,"EAST AKIM",407,"ATIWA","atiwa","atiwa","atiwa","atiwa",7462,34131,0.218628226538924,34435,652,35087,47107,0.744836223915766,0.216698126905764,0,"atiwa"
"ATWIMA-KWANWOMA"," 33,324 "," 89 "," 6,013 ",35,16," 233 ",28," 28 "," 39,766 ",630," 40,396 ",51995,"77.69%","1.56%","atwima kwanwoma",33324,6013,39766,51995,40396,39337,0.152858631822457,0.151209576019715,"ASHANTI",17,"BOSOMTWE-KWANWOMA",120,"ATWIMA-KWANWOMA","atwima kwanwoma","atwima kwanwoma","atwima kwanwoma","atwima kwanwoma",6013,39337,0.152858631822457,39766,630,40396,51995,0.776920857774786,0.151209576019715,0,"atwima kwanwoma"
"ATWIMA MPONUA"," 28,931 "," 211 "," 15,650 ",153,44," 172 ",24," 97 "," 45,282 ",1142," 46,424 ",59112,"78.54%","2.46%","atwima mponua",28931,15650,45282,59112,46424,44581,0.351046409905565,0.345611942935383,"ASHANTI",15,"ATWIMA",117,"ATWIMA MPONUA","atwima mponua","atwima mponua","atwima mponua","atwima mponua",15650,44581,0.351046409905565,45282,1142,46424,59112,0.785356611178779,0.345611942935383,0,"atwima mponua"
"ATWIMA NWABIAGYA"," 56,797 "," 165 "," 15,049 ",113,23," 412 ",21," 112 "," 72,692 ",1129," 73,821 ",99101,"74.49%","1.53%","atwima nwabiagya",56797,15049,72692,99101,73821,71846,0.209461904629346,0.207024156716007,"ASHANTI",16,"ATWIMA",118,"ATWIMA NWABIAGYA","atwima nwabiagya","atwima nwabiagya","atwima nwabiagya","atwima nwabiagya",15049,71846,0.209461904629346,72692,1129,73821,99101,0.744906711334901,0.207024156716007,0,"atwima nwabiagya"
"AVENOR-AVE"," 2,465 "," 194 "," 30,255 ",342,45," 296 ",22," 420 "," 34,039 ",1183," 35,222 ",54440,"64.70%","3.36%","avenor ave",2465,30255,34039,54440,35222,32720,0.924663814180929,0.88883339698581,"VOLTA",165,"AKATSI",904,"AVENOR-AVE","akatsi south","avenor ave","akatsi south","akatsi",30255,32720,0.924663814180929,34039,1183,35222,54440,0.646987509184423,0.88883339698581,0,"akatsi"
"AWUTU-SENYA"," 24,570 "," 168 "," 25,721 ",177,31," 717 ",23," 83 "," 51,490 ",1200," 52,690 ",97870,"53.84%","2.28%","awutu senya",24570,25721,51490,97870,52690,50291,0.511443399415402,0.499533890075743,"CENTRAL",61,"AWUTU/EFUTU/SENYA",308,"AWUTU-SENYA","awutu senya","awutu senya","awutu senya","awutu senya",25721,50291,0.511443399415402,51490,1200,52690,97870,0.53836722182487,0.499533890075743,0,"awutu senya"
"AYENSUONO"," 16,063 "," 102 "," 12,685 ",67,33," 193 ",10," 46 "," 29,199 ",819," 30,018 ",43483,"69.03%","2.73%","ayensuono",16063,12685,29199,43483,30018,28748,0.441248086823431,0.434432686050892,"EASTERN",97,"SUHUM/KRABOA/COALTAR",425,"AYENSUANO","suhum kraboa coaltar","ayensuano","suhum kraboa coaltar","suhum kraboa coaltar",29282,66593,0.43971588605409,67550,2049,69599,99930,0.696477534273992,0.433486306439674,0,"suhum kraboa coaltar"
"BAWKU CENTRAL"," 19,933 "," 227 "," 18,943 ",127,37," 120 ",20," 69 "," 39,476 ",65," 39,541 ",56996,"69.38%","0.16%","bawku central",19933,18943,39476,56996,39541,38876,0.487267208560552,0.479861181477353,"UPPER EAST",142,"BAWKU EAST",701,"BAWKU CENTRAL","bawku","bawku central","bawku","bawku",39687,70216,0.565213056853139,72631,1852,74483,112161,0.664072181952729,0.546419572909639,0,"bawku"
"BEKWAI"," 38,287 "," 79 "," 5,144 ",270,29," 247 ",24," 493 "," 44,573 ",1212," 45,785 ",57380,"79.79%","2.65%","bekwai",38287,5144,44573,57380,45785,43431,0.118440745089913,0.11540618760236,"ASHANTI",9,"AMANSIE EAST",110,"BEKWAI","bekwai","bekwai","bekwai","bekwai",5144,43431,0.118440745089913,44573,1212,45785,57380,0.797926106657372,0.11540618760236,0,"bekwai"
"BEREKUM"," 25,998 "," 272 "," 20,706 ",100,27," 260 ",10," 41 "," 47,414 ",697," 48,111 ",71957,"66.86%","1.45%","berekum",25998,20706,47414,71957,48111,46704,0.443345323741007,0.436706458008183,"BRONG AHAFO",36,"BEREKUM",206,"BEREKUM","berekum","berekum","berekum","berekum",20706,46704,0.443345323741007,47414,697,48111,71957,0.668607640674292,0.436706458008183,0,"berekum"
"BIA"," 13,893 "," 217 "," 31,788 ",269,60," 283 ",21," 82 "," 46,613 ",1955," 48,568 ",80432,"60.38%","4.03%","bia",13893,31788,46613,80432,48568,45681,0.695869179746503,0.681955677600669,"WESTERN",192,"JUABESO-BIA",1007,"BIA","bia","bia","bia","bia",31788,45681,0.695869179746503,46613,1955,48568,80432,0.603839267953054,0.681955677600669,0,"bia"
"BIAKOYE"," 6,195 "," 163 "," 17,583 ",104,17," 102 ",8," 20 "," 24,192 ",341," 24,533 ",35737,"68.65%","1.39%","biakoye",6195,17583,24192,35737,24533,23778,0.739465051728489,0.726810515873016,"VOLTA",171,"JASIKAN",909,"BIAKOYE","biakoye","biakoye","biakoye","biakoye",17583,23778,0.739465051728489,24192,341,24533,35737,0.686487394017405,0.726810515873016,0,"biakoye"
"BIBIANI-ANHWIASO-BEKWAI"," 24,079 "," 160 "," 23,199 ",183,38," 413 ",13," 48 "," 48,133 ",1145," 49,278 ",61244,"80.46%","2.32%","bibiani anhwiaso bekwai",24079,23199,48133,61244,49278,47278,0.490693345742206,0.481977022001537,"WESTERN",190,"BIBIANI ANHWIASO-BEKWAI",1008,"BIBIANI ANHWIASO-BEKWAI","sefwi bibiani anhwiaso bekwai","bibiani anhwiaso bekwai","sefwi bibiani anhwiaso bekwai","sefwi bibiani anhwiaso bekwai",23199,47278,0.490693345742206,48133,1145,49278,61244,0.804617595192998,0.481977022001537,0,"sefwi bibiani anhwiaso bekwai"
"BIMBILA"," 27,050 "," 326 "," 14,977 ",197,54," 172 ",85," 75 "," 42,936 ",1299," 44,235 ",56284,"78.59%","2.94%","bimbila",27050,14977,42936,56284,44235,42027,0.356366145573084,0.348821501770076,"NORTHERN",124,"NANUMBA",609,"BIMBILLA","nanumba north","bimbilla","nanumba north","nanumba north",14977,42027,0.356366145573084,42936,1299,44235,56284,0.785924952028996,0.348821501770076,0,"nanumba north"
"BOLE"," 5,109 "," 145 "," 11,739 ",117,45," 184 ",36," 62 "," 17,437 ",794," 18,231 ",27119,"67.23%","4.36%","bole",5109,11739,17437,27119,18231,16848,0.696759259259259,0.673223604977921,"NORTHERN",116,"BOLE",601,"BOLE","bole","bole","bole","bole",11739,16848,0.696759259259259,17437,794,18231,27119,0.672259301596667,0.673223604977921,0,"bole"
"BOLGATANGA"," 13,554 "," 4,383 "," 30,941 ",162,60," 472 ",52," 63 "," 49,687 ",1972," 51,659 ",73299,"70.48%","3.82%","bolgatanga",13554,30941,49687,73299,51659,44495,0.695381503539724,0.622718216032363,"UPPER EAST",147,"BOLGATANGA",705,"BOLGATANGA","bolgatanga","bolgatanga","bolgatanga","bolgatanga",30941,44495,0.695381503539724,49687,1972,51659,73299,0.704770869998226,0.622718216032363,0,"bolgatanga"
"BONGO"," 9,889 "," 1,311 "," 17,686 ",169,103," 173 ",52," 117 "," 29,500 ",1460," 30,960 ",43232,"71.61%","4.72%","bongo",9889,17686,29500,43232,30960,27575,0.641378059836809,0.599525423728814,"UPPER EAST",150,"BONGO",706,"BONGO","bongo","bongo","bongo","bongo",17686,27575,0.641378059836809,29500,1460,30960,43232,0.716136195410807,0.599525423728814,0,"bongo"
