"constituencyraw","nppraw","pncraw","ndcraw","dfp","dpp","cppraw","rpd","indraw","valid_votesraw","rejected_votes","total_votes_castraw","registered_voters_raw","turnoutraw","pct_rejectedraw","constituency_pre_recode.x","npptot","ndctot","valid_votes","registered_voters","total_votes_cast","two_party_vote_cons","ndc_prop_two_party_cons","ndc_cons","regionname","fid_c230","dist130","c230_id_g","const230_g","Group.1","constituency_pre_recode.y","district_pre_recode","district1","sumndc_dist170","sumtwoparty_dist170","ndc_share_2p_dist170","valid_votes_dist170","rejected_votes_dist170","total_votes_cast_dist170","registered_voters_dist170","turnout_reg_voters","ndc_pct_tot_dist170","remove","district_170"
"SABOBA"," 8,923 "," 182 "," 10,361 ",235,37," 714 ",22," 72 "," 20,546 ",751," 21,297 ",26423,"80.60%","3.53%","saboba",8923,10361,20546,26423,21297,19284,0.537284795685542,0.504283072130828,"NORTHERN",127,"SABOBA/CHEREPONI",612,"SABOBA","saboba","saboba","saboba","saboba",10361,19284,0.537284795685542,20546,751,21297,26423,0.806002346440601,0.504283072130828,0,"saboba"
"SALAGA"," 16,033 "," 320 "," 19,709 ",124,46," 203 ",80," 58 "," 36,573 ",1281," 37,854 ",50032,"75.66%","3.38%","salaga",16033,19709,36573,50032,37854,35742,0.551424094902356,0.538894813113499,"NORTHERN",119,"EAST GONJA",605,"SALAGA","east gonja","salaga","east gonja","east gonja",19709,35742,0.551424094902356,36573,1281,37854,50032,0.756595778701631,0.538894813113499,0,"east gonja"
"SALWA-TUNA-KALBA"," 6,815 "," 310 "," 13,716 ",194,72," 147 ",41," 113 "," 21,408 ",1503," 22,911 ",36851,"62.17%","6.56%","salwa tuna kalba",6815,13716,21408,36851,22911,20531,0.668062929228971,0.640695067264574,"NORTHERN",117,"BOLE",615,"SALWA-TUNA-KALBA","sawla tuna kalba","salwa tuna kalba","sawla tuna kalba","sawla tuna kalba",13716,20531,0.668062929228971,21408,1503,22911,36851,0.621719899052943,0.640695067264574,0,"sawla tuna kalba"
"SEFWI AKONTOMBRA"," 9,828 "," 97 "," 12,969 ",163,21," 53 ",16," 38 "," 23,185 ",775," 23,960 ",33044,"72.51%","3.23%","sefwi akontombra",9828,12969,23185,33044,23960,22797,0.568890643505724,0.559370282510244,"WESTERN",197,"SEFWI-WIAWSO",1017,"SEFWI-AKONTOMBRA","sefwi akontombra","sefwi akontombra","sefwi akontombra","sefwi akontombra",12969,22797,0.568890643505724,23185,775,23960,33044,0.725093814308195,0.559370282510244,0,"sefwi akontombra"
"SEFWI WIAWSO"," 18,147 "," 121 "," 24,904 ",149,43," 269 ",9," 40 "," 43,682 ",1825," 45,507 ",58302,"78.05%","4.01%","sefwi wiawso",18147,24904,43682,58302,45507,43051,0.578476690436924,0.57012041573188,"WESTERN",198,"SEFWI-WIAWSO",1016,"SEFWI-WIAWSO","sefwi wiawso","sefwi wiawso","sefwi wiawso","sefwi wiawso",24904,43051,0.578476690436924,43682,1825,45507,58302,0.780539261088813,0.57012041573188,0,"sefwi wiawso"
"SENE"," 8,007 "," 161 "," 17,011 ",130,252," 119 ",22," 45 "," 25,747 ",1286," 27,033 ",43485,"62.17%","4.76%","sene",8007,17011,25747,43485,27033,25018,0.679950435686306,0.660698333786461,"BRONG AHAFO",45,"SENE",216,"SENE","sene","sene","sene","sene",17011,25018,0.679950435686306,25747,1286,27033,43485,0.621662642290445,0.660698333786461,0,"sene"
"SHAMA"," 14,243 "," 121 "," 14,270 ",80,22," 738 ",18," 28 "," 29,520 ",695," 30,215 ",42735,"70.70%","2.30%","shama",14243,14270,29520,42735,30215,28513,0.500473468242556,0.48340108401084,"WESTERN",200,"SHAMA AHANTA EAST",1019,"SHAMA","shama","shama","shama","shama",14270,28513,0.500473468242556,29520,695,30215,42735,0.707031707031707,0.48340108401084,0,"shama"
"SISSALA EAST","8251","2754","6958",129,80,"168",27,"93"," 18,460 ",1057," 19,517 ",27105,"72%","5%","sissala east",8251,6958,18460,27105,19517,15209,0.457492274311263,0.376923076923077,"UPPER WEST",160,"SISSALA",806,"SISSALA EAST","sissala east","sissala east","sissala east","sissala east",6958,15209,0.457492274311263,18460,1057,19517,27105,0.720051650986903,0.376923076923077,0,"sissala east"
"SISSALA WEST","5846","2758","7214",91,38,"159",33,"60"," 16,199 ",840," 17,039 ",23151,"74%","5%","sissala west",5846,7214,16199,23151,17039,13060,0.552373660030628,0.445336131859991,"UPPER WEST",161,"SISSALA",807,"SISSALA WEST","sissala west","sissala west","sissala west","sissala west",7214,13060,0.552373660030628,16199,840,17039,23151,0.735994125523735,0.445336131859991,0,"sissala west"
"SOUTH DAYI"," 1,384 "," 63 "," 13,965 ",64,12," 78 ",3," 3 "," 15,572 ",257," 15,829 ",25203,"62.81%","1.62%","south dayi",1384,13965,15572,25203,15829,15349,0.909831259365431,0.896801952221937,"VOLTA",181,"KPANDO",922,"SOUTH DAYI","south dayi","south dayi","south dayi","south dayi",13965,15349,0.909831259365431,15572,257,15829,25203,0.628060151569258,0.896801952221937,0,"south dayi"
